"Year","Segment","SegmentLabel","Category","per_100km"
1996,"albany-esperance","Albany–Esperance","Cow-calf pairs",3.57158209269245
1996,"albany-esperance","Albany–Esperance","Unaccompanied",6.76720817562779
1996,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",3.50781650244938
1996,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",10.5234495073481
1997,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
1997,"albany-augusta","Augusta–Albany","Unaccompanied",0.286233435642621
1997,"albany-esperance","Albany–Esperance","Cow-calf pairs",2.6316920682997
1997,"albany-esperance","Albany–Esperance","Unaccompanied",6.39125216587069
1997,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",3.71415864965228
1997,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",8.04734374091328
1998,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.43116717821311
1998,"albany-augusta","Augusta–Albany","Unaccompanied",3.72103466335408
1998,"albany-esperance","Albany–Esperance","Cow-calf pairs",5.63934014635649
1998,"albany-esperance","Albany–Esperance","Unaccompanied",8.64698822441329
1998,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",7.84100159371037
1998,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",13.4122395681888
1999,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1999,"albany-augusta","Augusta–Albany","Unaccompanied",1.14493374257049
1999,"albany-esperance","Albany–Esperance","Cow-calf pairs",4.69945012196374
1999,"albany-esperance","Albany–Esperance","Unaccompanied",3.3836040878139
1999,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",7.22197515210166
1999,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",12.5868709793772
1999,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",2.35966799569163
1999,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",14.1580079741498
2000,"albany-esperance","Albany–Esperance","Cow-calf pairs",3.57158209269245
2000,"albany-esperance","Albany–Esperance","Unaccompanied",5.26338413659939
2000,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",5.36489582727552
2000,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",14.6502924514062
2000,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",3.03385885160352
2000,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",2.80912856629956
2001,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
2001,"albany-augusta","Augusta–Albany","Unaccompanied",2.86233435642621
2001,"albany-esperance","Albany–Esperance","Cow-calf pairs",6.76720817562779
